,HARGA,LB,LT,KT,KM,GRS
0,3800000000.0,220.0,220.0,3.0,3.0,0.0
1,4600000000.0,180.0,137.0,4.0,3.0,2.0
2,3000000000.0,267.0,250.0,4.0,4.0,4.0
3,430000000.0,40.0,25.0,2.0,2.0,0.0
4,9000000000.0,400.0,355.0,6.0,5.0,3.0
5,4970000000.0,300.0,154.0,5.0,3.0,3.0
6,2600000000.0,120.0,150.0,3.0,2.0,1.0
7,10500000000.0,350.0,247.0,4.0,4.0,0.0
8,3250000000.0,125.0,90.0,3.0,3.0,0.0
9,4500000000.0,250.0,96.0,5.0,4.0,1.0
10,3600000000.0,154.0,110.0,3.0,3.0,3.0
11,9500000000.0,450.0,240.0,4.0,4.0,1.0
12,10500000000.0,218.0,118.0,3.0,3.0,2.0
13,12500000000.0,200.0,979.0,4.0,2.0,6.0
14,4600000000.0,180.0,137.0,5.0,4.0,2.0
15,3000000000.0,126.0,144.0,4.0,2.0,2.0
16,6000000000.0,400.0,150.0,5.0,4.0,1.0
17,7500000000.0,150.0,253.0,5.0,2.0,2.0
19,9700000000.0,450.0,248.0,5.0,5.0,4.0
20,14000000000.0,300.0,700.0,8.0,5.0,2.0
21,8000000000.0,315.0,218.0,7.0,3.0,2.0
22,700000000.0,75.0,75.0,2.0,3.0,0.0
23,5500000000.0,350.0,230.0,5.0,5.0,3.0
24,11000000000.0,650.0,695.0,9.0,6.0,2.0
25,4000000000.0,250.0,199.0,8.0,2.0,2.0
26,3900000000.0,210.0,130.0,3.0,4.0,2.0
27,6500000000.0,300.0,200.0,5.0,5.0,4.0
28,5800000000.0,175.0,200.0,6.0,4.0,2.0
29,3200000000.0,140.0,110.0,3.0,3.0,2.0
30,8800000000.0,400.0,230.0,5.0,5.0,2.0
32,1100000000.0,102.0,102.0,2.0,1.0,0.0
33,10900000000.0,646.0,428.0,5.0,5.0,2.0
34,3600000000.0,145.0,200.0,8.0,8.0,1.0
35,4000000000.0,220.0,120.0,4.0,4.0,3.0
36,6000000000.0,325.0,222.0,6.0,5.0,0.0
37,6500000000.0,300.0,200.0,5.0,5.0,1.0
38,4500000000.0,250.0,154.0,6.0,3.0,1.0
39,4500000000.0,247.0,105.0,5.0,5.0,1.0
40,4000000000.0,200.0,140.0,4.0,4.0,2.0
41,2600000000.0,150.0,90.0,3.0,2.0,2.0
42,5500000000.0,210.0,239.0,8.0,5.0,1.0
43,15000000000.0,339.0,643.0,7.0,5.0,5.0
44,3500000000.0,190.0,100.0,5.0,4.0,2.0
45,6000000000.0,450.0,240.0,9.0,9.0,0.0
46,8000000000.0,300.0,232.0,6.0,5.0,0.0
47,9500000000.0,352.0,305.0,4.0,3.0,0.0
48,4300000000.0,135.0,146.0,6.0,6.0,1.0
49,3800000000.0,200.0,135.0,3.0,4.0,0.0
51,4000000000.0,190.0,175.0,4.0,2.0,1.0
52,2500000000.0,120.0,90.0,4.0,1.0,1.0
53,4750000000.0,180.0,196.0,5.0,5.0,1.0
55,4400000000.0,250.0,96.0,6.0,5.0,2.0
56,4500000000.0,220.0,140.0,5.0,4.0,2.0
57,5000000000.0,250.0,180.0,5.0,3.0,2.0
58,13000000000.0,200.0,393.0,5.0,3.0,1.0
59,4150000000.0,216.0,135.0,5.0,4.0,1.0
60,3800000000.0,260.0,130.0,6.0,3.0,2.0
62,8100000000.0,245.0,240.0,3.0,3.0,2.0
63,5250000000.0,147.0,108.0,4.0,3.0,2.0
64,4500000000.0,120.0,145.0,6.0,4.0,2.0
65,6200000000.0,170.0,200.0,8.0,5.0,2.0
66,6500000000.0,250.0,200.0,6.0,3.0,2.0
67,3500000000.0,170.0,112.0,4.0,5.0,2.0
