web-scraper-order,web-scraper-start-url,product,product-href,name,price,luas,lokasi,tipe_properti,sertifikat
"1654876823-47","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","Dijual tanah residensial jalan berlian, pondok labu luas 2966 meter, harga 51, 9 M nego","https://www.rumah.com/listing-properti/dijual-dijual-tanah-residensial-jalan-berlian-pondok-labu-luas-2966-meter-harga-51-9-m-nego-oleh-agung-sugiono-20084479","Dijual tanah residensial jalan berlian, pondok labu luas 2966 meter, harga 51, 9 M nego","51,9
                                            M","2966
                        m²","berlian, pondok labu, Pondok Labu, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654876814-45","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","Jl. Cililin kebayoran Baru","https://www.rumah.com/listing-properti/dijual-jl-cililin-kebayoran-baru-oleh-nanda-17404181","Jl. Cililin kebayoran Baru","11
                                            M","280
                        m²","Jl.Cililin, Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654876836-50","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","KESEHATAN BINTARO JAKARTA SELATAN","https://www.rumah.com/listing-properti/dijual-kesehatan-bintaro-jakarta-selatan-oleh-yuhari-20079161","KESEHATAN BINTARO JAKARTA SELATAN","10,5
                                            jt","430
                        m²","Pesanggrahan, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654876828-48","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","Kavling Oasis Terrace Kebayoran Lama Jakarta Selatan","https://www.rumah.com/listing-properti/dijual-kavling-oasis-terrace-kebayoran-lama-jakarta-selatan-oleh-endang-kumalasari-19848110","Kavling Oasis Terrace Kebayoran Lama Jakarta Selatan","23
                                            jt","230
                        m²","Oasis Terrace Kebayoran Lama Jakarta Selatan, Gandaria, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654876892-62","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","Dekat Gerbang TOL Fatmawati 2, Kavling Tanah Cilandak Cluster Jakarta Selatan","https://www.rumah.com/listing-properti/dijual-dekat-gerbang-tol-fatmawati-2-kavling-tanah-cilandak-cluster-jakarta-selatan-oleh-bakhtiar-19993103","Dekat Gerbang TOL Fatmawati 2, Kavling Tanah Cilandak Cluster Jakarta Selatan","1,76115
                                            M","177
                        m²","Area Perumahan Lebak Bulus, Cilandak Jaksel, Cilandak, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654876832-49","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","Tanah Kosong di Jagakarsa Jakarta Selatan dijual Murah Akses Jl Lebar","https://www.rumah.com/listing-properti/dijual-tanah-kosong-di-jagakarsa-jakarta-selatan-dijual-murah-akses-jl-lebar-oleh-dwi-shabrina-20017158","Tanah Kosong di Jagakarsa Jakarta Selatan dijual Murah Akses Jl Lebar","8
                                            jt","5000
                        m²","Jagakarsa, Ciganjur, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654876846-52","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","Pondok Labu","https://www.rumah.com/listing-properti/dijual-pondok-labu-oleh-marina-evalisa-20181760","Pondok Labu","6,12
                                            M","612
                        m²","Pondok Labu, Pondok Labu, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654876850-53","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","Tanah Luas 1154 di Cilandak, Lokasi strategis","https://www.rumah.com/listing-properti/dijual-tanah-luas-1154-di-cilandak-lokasi-strategis-oleh-lina-marlina-20127675","Tanah Luas 1154 di Cilandak, Lokasi strategis","18
                                            M","1154
                        m²","cilandak, Cilandak, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654876810-44","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","Dijual Tanah Dan Bangunan Setengah Jadi  Murah Di Lebak Bulus","https://www.rumah.com/listing-properti/dijual-dijual-tanah-dan-bangunan-setengah-jadi-murah-di-lebak-bulus-oleh-dasep-19596607","Dijual Tanah Dan Bangunan Setengah Jadi  Murah Di Lebak Bulus","4
                                            M","400
                        m²","Lebak Bulus, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654876888-61","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03/2?","Komp Pertanian Pasar Munggu Jual cepat","https://www.rumah.com/listing-properti/dijual-komp-pertanian-pasar-munggu-jual-cepat-oleh-nana-dewi-20120298","Komp Pertanian Pasar Munggu Jual cepat","8
                                            M","456
                        m²","Jl Rambutan komp Pertanian Ps Minggu Jaksel, Pasar Minggu, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
