web-scraper-order,web-scraper-start-url,product,product-href,name,price,luas,lokasi,tipe_properti,sertifikat
"1654875115-2","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-dijual-tanah-keuangan-cilandak-cakep-oleh-luzi-nadya-se-19980756","Dijual Tanah Keuangan Cilandak Cakep","19
                                            jt","400
                        m²","Keuangan, Cilandak, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875181-16","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-luas-1-1-hektar-jalan-joe-lenteng-agung-dijual-murah-7-5-juta-m-dekat-tb-simatupang-oleh-ridho-19649953","Tanah Luas 1, 1 hektar Jalan Joe Lenteng Agung Dijual Murah 7, 5 juta/m dekat TB Simatupang","86
                                            M","11450
                        m²","jalan joe, Lenteng Agung, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875110-1","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-permata-hijau-ii-oleh-enrico-19643197","TANAH PERMATA HIJAU II","10,491
                                            M","807
                        m²","Jl. Permata Hijau, Permata Hijau, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHGB - Hak Guna Bangunan"
"1654875158-11","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-dijual-tanah-murah-jl-guntur-setiabudi-oleh-luzi-nadya-se-19781784","Dijual Tanah Murah Jl Guntur Setiabudi","26,25
                                            M","1038
                        m²","Jalan Guntur, Setia Budi, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875185-17","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-luas-cocok-untuk-usaha-berada-dekat-samping-resto-ramai-lokasi-di-lebak-bulus-oleh-lina-marlina-20054801","Tanah luas cocok untuk usaha, berada dekat samping resto ramai, Lokasi di lebak bulus","33
                                            jt","1764
                        m²","lebak bulus, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875190-18","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-kavling-admiralty-fatmawati-oleh-prilly-pongilatan-19550983","kavling admiralty fatmawati","6,35
                                            M","326
                        m²","jalan fatmawati raya, Fatmawati, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHGB - Hak Guna Bangunan"
"1654875119-3","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-dijual-tanah-pejaten-barat-iii-oleh-luzi-nadya-se-19622464","Dijual Tanah Pejaten Barat iii","8,4
                                            M","743
                        m²","Jalan Pejaten Barat iii, Pejaten, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875140-7","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","Sorry, your browser doesn't support embedded videos.","https://www.rumah.com/listing-properti/dijual-tanah-kavling-oleh-andri-fedrian-19750539","Tanah kavling","1,4
                                            M","100
                        m²","Cilandak raya, Cilandak, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875172-14","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-dijual-tanah-untuk-perumahan-di-kemang-jakarta-selatan-oleh-ecko-adiamsah-19240832","Dijual Tanah Untuk Perumahan di Kemang Jakarta Selatan","5,7
                                            M","253
                        m²","kemang, Kemang, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875208-22","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-94-m2-9-5x10-siap-bangun-di-blok-l-komp-mega-cinere-oleh-dhany-19371041","Tanah 94 m2 (9, 5x10) Siap Bangun di Blok L Komp Mega Cinere","4,9
                                            jt","94
                        m²","Jl Lumut Hijau I Terusan Cinere, Cinere, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875124-4","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-dijual-jati-padang-dalam-komplek-oleh-zaky-muhamad-19060639","TANAH DIJUAL JATI PADANG DALAM KOMPLEK","4,9
                                            M","330
                        m²","Jatipadang Utara, Jati Padang, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875149-9","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-lebak-bulus-cilandak-jakarta-selatan-oleh-imam-purnawan-20155882","Tanah Lebak Bulus Cilandak Jakarta Selatan","1,76115
                                            M","177
                        m²","Lebak Bulus, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875199-20","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-kavling-termurah-lingkungan-elit-hanya-rp-20-juta-m-kemang-oleh-irman-20086996","Tanah kavling termurah lingkungan elit hanya Rp. 20 juta/ m Kemang","4,46
                                            M","223
                        m²","Kemang, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875163-12","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-belakang-jalan-raya-antasari-oleh-lydia-deasy-19846153","Belakang jalan raya Antasari","2,03
                                            M","100
                        m²","Jalan Raya belakang Antasari, Antasari, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875136-6","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-dijual-jati-padang-dalam-komplek-oleh-zaky-muhamad-19930373","TANAH DIJUAL JATI PADANG DALAM KOMPLEK","3
                                            M","205
                        m²","Jati Anom, Jati Padang, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875128-5","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-dijual-jati-padang-cluster-oleh-zaky-muhamad-19840981","TANAH DIJUAL JATI PADANG CLUSTER","1,95
                                            M","150
                        m²","Jl B II Rawabambu Pasar Minggu, Jati Padang, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875153-10","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-bonus-bangunan-di-jakarta-selatan-oleh-anna-fauzi-20123648","Tanah Bonus Bangunan Di Jakarta Selatan","22
                                            M","942
                        m²","jl.Sultan Iskandar Muda, Kebayoran Lama, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875194-19","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-kavling-murah-dlm-komplek-elite-hanya-rp-1-m-an-cilandak-oleh-irman-19672988","Tanah kavling murah dlm komplek elite hanya Rp 1 M-an cilandak","1,162
                                            M","83
                        m²","Cilandak, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875167-13","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-murah-siap-bangun-lebak-bulus-jakarta-selatan-oleh-randi-rismawan-20178162","Tanah murah siap bangun lebak bulus jakarta selatan","11
                                            jt","306
                        m²","Manunggal jaya, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875213-23","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-wisma-mampang-oleh-yuana-20010383","Wisma Mampang","15,5
                                            jt","1295
                        m²","Jl. Mampang Prapatan, Mampang, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875144-8","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-dekat-mrt-lebak-bulus-kavling-lebak-bulus-jakarta-selatan-oleh-imam-purnawan-20155876","Dekat MRT Lebak Bulus Kavling Lebak Bulus Jakarta Selatan","1,76115
                                            M","177
                        m²","Fatmawati, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875176-15","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-kavling-jakarta-selatan-dekat-umj-plaza-simatupang-oleh-resti-noelya-20146270","Kavling Jakarta Selatan, Dekat UMJ & Plaza Simatupang","1,76115
                                            M","177
                        m²","Cilandak, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
"1654875204-21","https://www.rumah.com/tanah-pribadi-dijual/di-area-jakarta-selatan-idjk03","","https://www.rumah.com/listing-properti/dijual-tanah-mampang-prapatan-oleh-verly-20103048","Tanah Mampang Prapatan","13,4
                                            jt","1295
                        m²","Mampang Prapatan, Jakarta Selatan, DKI Jakarta","Tanah Pribadi Dijual","SHM - Sertifikat Hak Milik"
